,0
131,237.92017755663005
132,235.71712475426287
133,233.57613810479396
134,231.43515145532504
135,229.29416480585616
136,227.15317815638724
137,225.07085611809055
138,222.9885340797938
139,220.9062120414971
140,218.8238900032004
141,216.79710322495615
142,214.7703164467119
143,212.74352966846763
144,210.71674289022337
145,208.74260592357555
146,206.76846895692776
147,204.79433199027994
148,202.82019502363212
149,200.89604161682607
150,198.97188821002004
151,197.047734803214
152,195.12358139640799
153,193.24694283953977
154,191.37030428267153
155,189.4936657258033
156,187.6170271689351
157,185.7856132489265
158,183.9541993289179
159,182.12278540890927
160,180.29137148890067
161,178.50305368572594
162,176.71473588255117
163,174.92641807937645
164,173.13810027620167
165,171.39089689112456
166,169.64369350604747
167,167.89649012097038
168,166.14928673589327
169,164.44134969113682
170,162.73341264638037
171,161.0254756016239
172,159.31753855686745
173,157.64714164624053
174,155.9767447356136
175,154.3063478249867
176,152.63595091435977
177,151.00147931756655
178,149.3670077207733
179,147.73253612398005
180,146.0980645271868
181,144.49800542815154
182,142.8979463291163
183,141.29788723008107
184,139.6978281310458
185,138.13076230363788
186,136.56369647622998
187,134.99663064882208
188,133.42956482141415
189,131.89415906528268
190,130.3587533091512
191,128.82334755301972
192,127.28794179688825
193,125.78294212237859
194,124.27794244786895
195,122.77294277335929
196,121.26794309884963
197,119.7921685737099
198,118.31639404857017
199,116.84061952343045
200,115.36484499829072
201,113.91718218051794
202,112.46951936274516
203,111.02185654497238
204,109.5741937271996
205,108.15359161827601
206,106.73298950935242
207,105.31238740042883
208,103.89178529150524
209,102.49725075272231
210,101.10271621393937
211,99.70818167515642
212,98.31364713637349
213,96.94424071816995
214,95.5748342999664
215,94.20542788176286
216,92.8360214635593
217,91.49085360400481
218,90.14568574445033
219,88.80051788489585
220,87.45535002534137
221,86.13357757923932
222,84.81180513313726
223,83.49003268703521
224,82.16826024093315
225,80.86908330562633
226,79.56990637031953
227,78.27072943501273
228,76.97155249970592
229,75.69421150766095
230,74.41687051561597
231,73.13952952357099
232,71.86218853152602
233,70.60596158323402
234,69.34973463494202
235,68.09350768665004
236,66.83728073835805
237,65.60148115210275
238,64.36568156584744
239,63.12988197959213
240,61.894082393336824
241,60.678056451007286
242,59.462030508677756
243,58.246004566348226
244,57.029978624018696
245,55.833103494440124
246,54.63622836486155
247,53.43935323528298
248,52.24247810570441
249,51.06415992897105
250,49.885841752237695
251,48.70752357550434
252,47.52920539877098
253,46.36887751683106
254,45.20854963489114
255,44.04822175295122
256,42.8878938710113
257,41.745015191306216
258,40.60213651160113
259,39.45925783189604
260,38.316379152190954
261,37.19043263252027
262,36.064486112849586
263,34.9385395931789
264,33.81259307350822
265,32.70308431750061
266,31.593575561493004
267,30.484066805485398
268,29.374558049477795
269,28.28101400311822
270,27.187469956758644
271,26.093925910399065
272,25.00038186403949
273,23.922349604650805
274,22.844317345262112
275,21.766285085873424
276,20.688252826484735
277,19.625298436404513
278,18.562344046324288
279,17.499389656244063
280,16.43643526616384
281,15.388142784106313
282,14.339850302048784
283,13.291557819991256
284,12.243265337933728
285,11.209235781694552
286,10.175206225455376
287,9.141176669216202
288,8.107147112977026
289,7.086997567734345
290,6.066848022491662
291,5.046698477248981
292,4.0265489320063
293,3.019911699004725
294,2.01327446600315
295,1.006637233001575
296,0.0
