,0,1,2,3,4,5,6
63,1.0,1.0,1.0,1.0,1.0,1.0,1.0
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0
65,1.0,1.0,1.0,1.0,1.0,1.0,1.0
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,1.0,1.0,1.0
68,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334
70,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,1.0,1.0,1.0,1.0,1.0,1.0,0.8823529411764706
73,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,1.0
74,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
81,1.0,1.0,1.0,1.0,1.0,1.0,0.9607843137254902
82,1.0,1.0,1.0,1.0,1.0,1.0,0.9583333333333334
83,1.0,1.0,1.0,1.0,0.9743589743589745,1.0,0.9607843137254902
84,0.9803921568627452,1.0,1.0,1.0,1.0,1.0,1.0
85,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
89,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9791666666666666
90,1.0,1.0,1.0,1.0,1.0,1.0,0.9375
91,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,1.0,0.9848484848484849,1.0,1.0,1.0,1.0,0.9791666666666666
93,0.9803921568627452,1.0,1.0,1.0,1.0,1.0,1.0
94,1.0,1.0,1.0,1.0,1.0,1.0,1.0
95,0.9803921568627452,1.0,1.0,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0
97,1.0,1.0,1.0,1.0,1.0,1.0,1.0
98,1.0,1.0,1.0,1.0,1.0,1.0,1.0
99,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,1.0,1.0,1.0,1.0,1.0,1.0,0.9007352941176471
101,1.0,1.0,1.0,1.0,1.0,1.0,0.9052287581699346
102,0.9803921568627452,1.0,1.0,1.0,1.0,1.0,1.0
103,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
104,1.0,1.0,1.0,1.0,1.0,1.0,1.0
105,1.0,1.0,1.0,1.0,1.0,1.0,1.0
106,1.0,1.0,1.0,1.0,1.0,1.0,1.0
107,1.0,1.0,1.0,1.0,1.0,1.0,0.9791666666666666
108,1.0,1.0,1.0,1.0,1.0,1.0,1.0
